full_name,salary2,yearID,,,,,,,,,,,,,,,,,,,,,,
Nate Schierholtz,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Dewayne Wise,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Alex Rodriguez,"$21,000,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Carlos Delgado,"$13,650,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Mike Piazza,"$13,571,429 ",2001,,,,,,,,,,,,,,,,,,,,,,
Mo Vaughn,"$13,166,667 ",2001,,,,,,,,,,,,,,,,,,,,,,
Manny Ramirez,"$13,050,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Derek Jeter,"$12,600,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Sammy Sosa,"$12,500,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Ken Griffey Jr.,"$12,500,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Bernie Williams,"$12,357,143 ",2001,,,,,,,,,,,,,,,,,,,,,,
Larry Walker,"$12,166,667 ",2001,,,,,,,,,,,,,,,,,,,,,,
Shawn Green,"$12,166,667 ",2001,,,,,,,,,,,,,,,,,,,,,,
Albert Belle,"$12,049,040 ",2001,,,,,,,,,,,,,,,,,,,,,,
Raul Mondesi,"$11,500,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Mark McGwire,"$11,000,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Chipper Jones,"$10,333,333 ",2001,,,,,,,,,,,,,,,,,,,,,,
Barry Bonds,"$10,300,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Juan Gonzalez,"$10,000,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Frank Thomas,"$9,927,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Gary Sheffield,"$9,916,667 ",2001,,,,,,,,,,,,,,,,,,,,,,
Brian Jordan,"$9,100,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Matt Williams,"$9,000,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Rafael Palmiero,"$9,000,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Barry Larkin,"$9,000,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Ray Durham,"$9,000,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Ivan Rodriguez,"$8,600,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Greg Vaughn,"$8,250,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Andruw Jones,"$8,200,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Ray Lankford,"$8,100,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
Kenny Lofton,"$8,000,000 ",2001,,,,,,,,,,,,,,,,,,,,,,
